resort_name|state|region|postal_code|summit|mid_elevation|base|vertical|lifts|runs|acres|green_percent|green_acres|blue_percent|blue_acres|black_percent|black_acres|lat|lon|mid_elevation_meters|timezone|country|ticket_currency|peak_day_ticket_local|peak_day_ticket_usd|advance_day_ticket_local|ticket_basis|map|openmeteo_hourly_api_call
49 Degrees North - WA|Washington|Pacific Northwest|99141|5774|4848.5|3923|1851|6|82|2325|0.3|697.5|0.4|930|0.3|697.5|48.302|-117.567|1477.8228|America/Los_Angeles|USA|USD|89|89|78|estimate|https://www.onthesnow.com/washington/49-degrees-north/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=48.302&longitude=-117.567&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1477.8228
Afton Alps - MN|Minnesota|Midwest|55033|700|525|350|350|18|48|250|0.36|90|0.39|97.5|0.24|60|44.85|-92.79|160.02|America/Chicago|USA|USD|89|89|78|estimate|https://www.onthesnow.com/minnesota/afton-alps/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=44.85&longitude=-92.79&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=160.02
Alpental - WA|Washington|Pacific Northwest|98068|5420|4275|3130|2290|6|24|825|0.05|41.25|0.26|214.5|0.68|561|47.444153|-121.42593|1303.02|America/Los_Angeles|USA|USD|107|107||published_2526|https://www.onthesnow.com/washington/alpental/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=47.444153&longitude=-121.42593&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=1303.02
Alpine Meadows - CA|California|Sierra Nevada|96146|8637|7736|6835|1802|13|100|2400|0.25|600|0.4|960|0.35|840|39.166|-120.239|2357.9328|America/Los_Angeles|USA|USD|289|289|217|estimate|https://www.palisadestahoe.com/mountain-information/trail-maps|https://archive-api.open-meteo.com/v1/archive?latitude=39.166&longitude=-120.239&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Los_Angeles&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2357.9328
Alpine Valley - MI|Michigan|Midwest|48383|1210|1060|910|300|14|25|100|0.34|34|0.36|36|0.3|30|42.72|-83.53|323.088|America/Detroit|USA|USD|55|55|48|estimate|https://www.onthesnow.com/michigan/alpine-valley-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=42.72&longitude=-83.53&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Detroit&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=323.088
Alpine Valley - OH|Ohio|Midwest|44024|1500|1380|1260|230|6|11|72|0.25|18|0.5|36|0.25|18|41.55|-81.2|420.624|America/New_York|USA|USD|89|89|78|estimate|https://www.onthesnow.com/ohio/alpine-valley/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=41.55&longitude=-81.2&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/New_York&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=420.624
Alpine Valley - WI|Wisconsin|Midwest|53176|1180|986|792|388|16|20|100|0.33|33|0.38|38|0.29|29|42.65|-88.4|300.5328|America/Chicago|USA|USD|65|65|57|estimate|https://www.onthesnow.com/wisconsin/alpine-valley-resort/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=42.65&longitude=-88.4&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=300.5328
Alta - UT|Utah|Colorado & Utah|84092|10550|9540|8530|2020|11|119|2614|0.15|392.1|0.3|784.2|0.55|1437.7|40.59|-111.64|2907.792|America/Denver|USA|USD|199|199|149|estimate|https://www.onthesnow.com/utah/alta-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=40.59&longitude=-111.64&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Denver&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=2907.792
Alyeska - AK|Alaska|Alaska|99587|2750|1500|250|2500|9|76|1610|0.11|177.1|0.52|837.2|0.37|595.7|60.97|-149.11|457.2|America/Anchorage|USA|USD|129|129|97|estimate|https://www.alyeskaresort.com/mountain-report/|https://archive-api.open-meteo.com/v1/archive?latitude=60.97&longitude=-149.11&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Anchorage&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=457.2
Andes Tower Hills - MN|Minnesota|Midwest|56308|1450|1312.5|1175|275|4|16|35|0.25|8.75|0.06|2.1|0.69|24.15|45.85|-95.36|400.05|America/Chicago|USA|USD|55|55|48|estimate|https://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/trailmap|https://archive-api.open-meteo.com/v1/archive?latitude=45.85&longitude=-95.36&start_date=1999-06-01&end_date=2026-05-31&hourly=temperature_2m,apparent_temperature,snowfall,snow_depth,rain,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,weather_code,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,wind_gusts_10m,dew_point_2m,relative_humidity_2m,sunshine_duration,direct_normal_irradiance,diffuse_radiation,shortwave_radiation,terrestrial_radiation,direct_normal_irradiance_instant,diffuse_radiation_instant,shortwave_radiation_instant,terrestrial_radiation_instant,is_day&timezone=America/Chicago&temperature_unit=fahrenheit&wind_speed_unit=mph&precipitation_unit=inch&elevation=400.05
